what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1340283760599
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1340283760612
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1340283760613
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1340283760624
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1340283760666
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1340283760802
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1340283761376
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1340283761416
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1340283761438
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1340283761473
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1340283761582
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1340283761610
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1340283761626
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1340283761654
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1340283761666
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1340283762212
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1340283762212
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1340283762229
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1340283762263
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1340283762349
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1340283763051
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1340283763065
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1340283763079
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1340283763080
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1340283763195
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1340283763256
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1340283763256
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1340283763267
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1340283763337
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1340283763766
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1340283763766
os,sysinfo,,,"win32",1340283763805
arch,sysinfo,,,"x86_64",1340283763805
ws,sysinfo,,,"win32",1340283763805
locale,sysinfo,,,"en_US",1340283763805
processors,sysinfo,,,"2",1340283763805
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1340283763805
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1340283763805
java.specification.name,sysinfo,,,"Java Platform API Specification",1340283763805
java.specification.vendor,sysinfo,,,"Oracle Corporation",1340283763805
java.specification.version,sysinfo,,,"1.7",1340283763805
java.vendor,sysinfo,,,"Oracle Corporation",1340283763805
java.version,sysinfo,,,"1.7.0_03",1340283763805
java.vm.info,sysinfo,,,"mixed mode",1340283763805
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340283763805
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340283763805
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1340283763805
java.vm.specification.version,sysinfo,,,"1.7",1340283763805
java.vm.vendor,sysinfo,,,"Oracle Corporation",1340283763805
java.vm.version,sysinfo,,,"22.1-b02",1340283763805
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1340283763922
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340283763968
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1340283771031
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1340283771807
error,log,,,"Unable to read C:\\Users\\alexander\\Dropbox\\Studium\\bachelor project\\Software\\SpaceBugzWorkSpace\\Planetz\\AndroidManifest.xml: org.eclipse.core.internal.resources.ResourceException: Resource is out of sync with the file system: '/Planetz/AndroidManifest.xml'.",1340283771834
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1340283771996
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1340283775705
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340283783829
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340283786384
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1340283786454
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340283786514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340283787036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340283787338
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1340283790522
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340283790794
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1340283790915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1340283793472
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1340283798684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340283826179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1340283841708
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1340283845633
